# genetated time: 2023-07-28 18:19:57.437705
# histogram number: 2048
# sample number: 50
# tune number: 5
###
# op_name    threshold    min    max
inputs 1.0000080 0.0000000 1.0000080
/mobilevit/conv_stem/convolution/Conv_output_0_Conv 9.3263040 -13.5367165 13.8134975
/mobilevit/conv_stem/activation/Mul_output_0_Mul 8.5787399 -0.2784646 13.8134842
/mobilevit/encoder/layer.0/layer.0/expand_1x1/convolution/Conv_output_0_Conv 62.8452991 -128.6041870 122.6822205
/mobilevit/encoder/layer.0/layer.0/expand_1x1/activation/Mul_output_0_Mul 15.3427687 -0.2784646 122.6822205
/mobilevit/encoder/layer.0/layer.0/conv_3x3/convolution/Conv_output_0_Conv 49.9361496 -29.6130180 44.5541077
/mobilevit/encoder/layer.0/layer.0/conv_3x3/activation/Mul_output_0_Mul 15.4528844 -0.2784646 44.5541077
/mobilevit/encoder/layer.1/layer.0/expand_1x1/convolution/Conv_output_0_Conv 55.0666865 -118.4288330 193.5340424
/mobilevit/encoder/layer.1/layer.0/expand_1x1/activation/Mul_output_0_Mul 24.2035732 -0.2784646 193.5340424
/mobilevit/encoder/layer.1/layer.0/conv_3x3/convolution/Conv_output_0_Conv 5.7870163 -15.5691462 8.9403563
/mobilevit/encoder/layer.1/layer.0/conv_3x3/activation/Mul_output_0_Mul 4.4709026 -0.2784646 8.9391851
/mobilevit/encoder/layer.1/layer.0/reduce_1x1/convolution/Conv_output_0_Conv 1.3450061 -1.7746286 2.1306429
/mobilevit/encoder/layer.1/layer.1/expand_1x1/convolution/Conv_output_0_Conv 8.5588723 -17.4244194 11.5889387
/mobilevit/encoder/layer.1/layer.1/expand_1x1/activation/Mul_output_0_Mul 11.5888309 -0.2784646 11.5888309
/mobilevit/encoder/layer.1/layer.1/conv_3x3/convolution/Conv_output_0_Conv 5.6354188 -12.1089983 7.8316054
/mobilevit/encoder/layer.1/layer.1/conv_3x3/activation/Mul_output_0_Mul 4.7283889 -0.2784646 7.8284979
/mobilevit/encoder/layer.1/layer.1/reduce_1x1/convolution/Conv_output_0_Conv 1.5624315 -2.0760696 1.9406507
/mobilevit/encoder/layer.1/layer.1/Add_output_0_Add 1.9467624 -2.5227299 2.3503942
/mobilevit/encoder/layer.1/layer.2/expand_1x1/convolution/Conv_output_0_Conv 8.2604506 -18.2034092 10.2197037
/mobilevit/encoder/layer.1/layer.2/expand_1x1/activation/Mul_output_0_Mul 5.9343144 -0.2784646 10.2193308
/mobilevit/encoder/layer.1/layer.2/conv_3x3/convolution/Conv_output_0_Conv 9.6769314 -9.6769314 6.4015293
